K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.05,0.55,5.5999,-2.29996,6.69988,110,0.707107,0.707107,0,3.94993,6.69988,8.34985,0,0,1,n
0.05,0.55,5.5999,-2.29996,6.69988,111,0.57735,0.57735,0.57735,4.86658,4.86658,9.2665,9.71445e-17,2.22045e-16,1,n
0.05,0.6,5.99989,-2.49996,7.29987,100,1,0,0,5.99989,7.29987,7.29987,1,0,0,y
0.05,0.6,5.99989,-2.49996,7.29987,110,0.707107,0.707107,0,4.24992,7.29987,9.04983,0,0,1,n
0.05,0.6,5.99989,-2.49996,7.29987,111,0.57735,0.57735,0.57735,5.26657,5.26657,10.0665,2.08167e-16,2.22045e-16,1,n
0.05,0.65,6.39989,-2.69995,7.89986,100,1,0,0,6.39989,7.89986,7.89986,1,0,0,y
0.05,0.65,6.39989,-2.69995,7.89986,110,0.707107,0.707107,0,4.54992,7.89986,9.74983,0,0,1,n
0.05,0.65,6.39989,-2.69995,7.89986,111,0.57735,0.57735,0.57735,5.66657,5.66657,10.8665,6.93889e-17,5.55112e-17,1,n
0.05,0.7,6.79988,-2.89995,8.49985,100,1,0,0,6.79988,8.49985,8.49985,1,0,0,y
0.05,0.7,6.79988,-2.89995,8.49985,110,0.707107,0.707107,0,4.84991,8.49985,10.4498,0,0,1,n
0.05,0.7,6.79988,-2.89995,8.49985,111,0.57735,0.57735,0.57735,6.06656,6.06656,11.6665,1.11022e-16,3.33067e-16,1,n
0.1,0,1.39998,-0.199996,0.199996,100,1,0,0,0.199996,0.199996,1.39998,0,0,1,n
0.1,0,1.39998,-0.199996,0.199996,110,0.707107,0.707107,0,0.199996,0.799988,0.799988,0,0.707107,0.707107,m
0.1,0,1.39998,-0.199996,0.199996,111,0.57735,0.57735,0.57735,0.599991,0.599991,0.599991,0.57735,0.57735,0.57735,=
0.1,0.05,1.79997,-0.399993,0.799986,100,1,0,0,0.799986,0.799986,1.79997,0,0,1,n
0.1,0.05,1.79997,-0.399993,0.799986,110,0.707107,0.707107,0,0.799986,1.09998,1.49997,0,0,1,n
0.1,0.05,1.79997,-0.399993,0.799986,111,0.57735,0.57735,0.57735,0.999983,0.999983,1.39998,9.4369e-16,1.66533e-16,1,n
0.1,0.1,2.19996,-0.599989,1.39998,100,1,0,0,1.39998,1.39998,2.19996,0,0,1,n
0.1,0.1,2.19996,-0.599989,1.39998,110,0.707107,0.707107,0,1.39997,1.39998,2.19997,0,0,1,n
0.1,0.1,2.19996,-0.599989,1.39998,111,0.57735,0.57735,0.57735,1.39998,1.39998,2.19997,3.88578e-16,5.55112e-17,1,n
0.1,0.15,2.59995,-0.799986,1.99996,100,1,0,0,1.99996,1.99996,2.59995,0,0,1,n
0.1,0.15,2.59995,-0.799986,1.99996,110,0.707107,0.707107,0,1.69997,1.99996,2.89994,0,0,1,n
0.1,0.15,2.59995,-0.799986,1.99996,111,0.57735,0.57735,0.57735,1.79997,1.79997,2.99994,3.88578e-16,5.55112e-17,1,n
0.1,0.2,2.99995,-0.999982,2.59995,100,1,0,0,2.59995,2.59995,2.99995,0,0,1,n
