LAMMPS data file for SC lattice

125 atoms
19125 angles

1 atom types
6 angle types

0.0 5 xlo xhi
0.0 5 ylo yhi
0.0 5 zlo zhi

Masses

1 1.0

Atoms

595 4 25 4 28
596 2 25 4 30
597 4 25 4 34
598 3 8 4 10
599 4 8 4 49
600 2 8 4 28
601 4 8 4 30
602 2 8 4 34
603 4 10 4 49
604 4 10 4 28
605 2 10 4 30
606 2 10 4 34
607 2 49 4 28
608 2 49 4 30
609 3 49 4 34
610 3 28 4 30
611 2 28 4 34
612 2 30 4 34
613 3 105 5 25
614 3 105 5 4
615 3 105 5 1
616 3 105 5 10
617 6 105 5 30
618 1 105 5 125
619 1 105 5 104
620 1 105 5 101
621 1 105 5 110
622 3 105 5 24
623 3 105 5 21
624 3 105 5 9
625 3 105 5 6
626 5 105 5 50
627 5 105 5 29
628 5 105 5 26
629 5 105 5 35
630 3 25 5 4
631 3 25 5 1
632 6 25 5 10
633 3 25 5 30
634 1 25 5 125
635 3 25 5 104
636 3 25 5 101
637 5 25 5 110
638 1 25 5 24
639 1 25 5 21
640 5 25 5 9
641 5 25 5 6
642 1 25 5 50
643 3 25 5 29
644 3 25 5 26
645 5 25 5 35
646 6 4 5 1
647 3 4 5 10
648 3 4 5 30
649 3 4 5 125
650 1 4 5 104
651 5 4 5 101
652 3 4 5 110
653 1 4 5 24
654 5 4 5 21
655 1 4 5 9
656 5 4 5 6
657 3 4 5 50
658 1 4 5 29
659 5 4 5 26
660 3 4 5 35
661 3 1 5 10
662 3 1 5 30
663 3 1 5 125
664 5 1 5 104
665 1 1 5 101
666 3 1 5 110
667 5 1 5 24
668 1 1 5 21
669 5 1 5 9
670 1 1 5 6
671 3 1 5 50
672 5 1 5 29
673 1 1 5 26
674 3 1 5 35
675 3 10 5 30
676 5 10 5 125
677 3 10 5 104
678 3 10 5 101
679 1 10 5 110
680 5 10 5 24
681 5 10 5 21
682 1 10 5 9
683 1 10 5 6
684 5 10 5 50
685 3 10 5 29
686 3 10 5 26
687 1 10 5 35
688 5 30 5 125
689 5 30 5 104
690 5 30 5 101
691 5 30 5 110
692 3 30 5 24
693 3 30 5 21
694 3 30 5 9
695 3 30 5 6
696 1 30 5 50
697 1 30 5 29
698 1 30 5 26
699 1 30 5 35
700 2 125 5 104
701 2 125 5 101
702 3 125 5 110
703 2 125 5 24
704 2 125 5 21
705 4 125 5 9
706 4 125 5 6
707 3 125 5 50
708 4 125 5 29
