K2,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.4,0.4,8.20229,-2.68696,2.9698,100,1,0,0,2.9698,2.9698,8.20229,0,0,1,n
0.4,0.4,8.20229,-2.68696,2.9698,110,0.707107,0.707107,0,2.9698,5.44463,5.72746,0,0,1,n
0.4,0.4,8.20229,-2.68696,2.9698,111,0.57735,0.57735,0.57735,4.61968,4.61968,4.90252,-5.55112e-17,-1.91513e-15,1,n
0.4,0.5,9.33365,-3.25263,2.9698,100,1,0,0,2.9698,2.9698,9.33365,0,0,1,n
0.4,0.5,9.33365,-3.25263,2.9698,110,0.707107,0.707107,0,2.9698,6.01031,6.29314,0,-1,0,m
0.4,0.5,9.33365,-3.25263,2.9698,111,0.57735,0.57735,0.57735,4.90253,5.18536,5.18536,-1,2.72005e-15,-6.10623e-15,y
0.5,0,4.24257,-0.707094,3.53547,100,1,0,0,3.53547,3.53547,4.24257,0,0,1,n
0.5,0,4.24257,-0.707094,3.53547,110,0.707107,0.707107,0,2.47483,3.53547,5.30321,0,0,1,n
0.5,0,4.24257,-0.707094,3.53547,111,0.57735,0.57735,0.57735,2.82838,2.82838,5.65675,5.55112e-17,-1.38778e-16,1,n
0.5,0.1,5.37392,-1.27277,3.53547,100,1,0,0,3.53547,3.53547,5.37392,0,0,1,n
0.5,0.1,5.37392,-1.27277,3.53547,110,0.707107,0.707107,0,3.32334,3.53547,5.58604,0,0,1,n
0.5,0.1,5.37392,-1.27277,3.53547,111,0.57735,0.57735,0.57735,3.39405,3.39405,5.65675,5.55112e-17,-5.55112e-17,1,n
0.5,0.2,6.50527,-1.83845,3.53547,100,1,0,0,3.53547,3.53547,6.50527,0,0,1,n
0.5,0.2,6.50527,-1.83845,3.53547,110,0.707107,0.707107,0,3.53547,4.17186,5.86888,0,0,1,n
0.5,0.2,6.50527,-1.83845,3.53547,111,0.57735,0.57735,0.57735,3.95973,3.95973,5.65675,3.88578e-16,5.55112e-17,1,n
0.5,0.3,7.63662,-2.40412,3.53547,100,1,0,0,3.53547,3.53547,7.63662,0,0,1,n
0.5,0.3,7.63662,-2.40412,3.53547,110,0.707107,0.707107,0,3.53547,5.02037,6.15172,0,0,1,n
0.5,0.3,7.63662,-2.40412,3.53547,111,0.57735,0.57735,0.57735,4.5254,4.5254,5.65675,-2.33147e-15,-5.55112e-16,1,n
0.5,0.4,8.76797,-2.9698,3.53547,100,1,0,0,3.53547,3.53547,8.76797,0,0,1,n
0.5,0.4,8.76797,-2.9698,3.53547,110,0.707107,0.707107,0,3.53547,5.86888,6.43455,0,0,1,n
0.5,0.4,8.76797,-2.9698,3.53547,111,0.57735,0.57735,0.57735,5.09108,5.09108,5.65675,-5.55112e-17,-8.32667e-17,1,n
0.5,0.5,9.89932,-3.53547,3.53547,100,1,0,0,3.53547,3.53547,9.89932,0,0,1,n
0.5,0.5,9.89932,-3.53547,3.53547,110,0.707107,0.707107,0,3.53547,6.71739,6.71739,0,0.707107,0.707107,m
0.5,0.5,9.89932,-3.53547,3.53547,111,0.57735,0.57735,0.57735,5.65675,5.65675,5.65675,0.57735,0.57735,0.57735,=
