K2,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.1,0.05,2.54554,0.141419,1.27277,2.54554,1.27277,1.97986,1.27277,1.20206,2.63982,1.22563
0.11,0,2.03643,0.395973,1.32934,2.03643,1.32934,1.88087,1.32934,0.820229,2.71524,0.989932
0.11,0.01,2.14957,0.339405,1.32934,2.14957,1.32934,1.90915,1.32934,0.905081,2.71524,1.0465
0.11,0.02,2.2627,0.282838,1.32934,2.2627,1.32934,1.93744,1.32934,0.989932,2.71524,1.10307
0.11,0.03,2.37584,0.22627,1.32934,2.37584,1.32934,1.96572,1.32934,1.07478,2.71524,1.15963
0.11,0.04,2.48897,0.169703,1.32934,2.48897,1.32934,1.99401,1.32934,1.15963,2.71524,1.2162
0.11,0.05,2.60211,0.113135,1.32934,2.60211,1.32934,2.02229,1.32934,1.24449,2.71524,1.27277
0.12,0,2.093,0.367689,1.3859,2.093,1.3859,1.9233,1.3859,0.862655,2.79067,1.03707
0.12,0.01,2.20613,0.311122,1.3859,2.20613,1.3859,1.95158,1.3859,0.947506,2.79067,1.09364
0.12,0.02,2.31927,0.254554,1.3859,2.31927,1.3859,1.97986,1.3859,1.03236,2.79067,1.15021
0.12,0.03,2.4324,0.197986,1.3859,2.4324,1.3859,2.00815,1.3859,1.11721,2.79067,1.20677
0.12,0.04,2.54554,0.141419,1.3859,2.54554,1.3859,2.03643,1.3859,1.20206,2.79067,1.26334
0.12,0.05,2.65867,0.0848513,1.3859,2.65867,1.3859,2.06472,1.3859,1.28691,2.79067,1.31991
0.13,0,2.14957,0.339405,1.44247,2.14957,1.44247,1.96572,1.44247,0.905081,2.86609,1.08421
0.13,0.01,2.2627,0.282838,1.44247,2.2627,1.44247,1.99401,1.44247,0.989932,2.86609,1.14078
0.13,0.02,2.37584,0.22627,1.44247,2.37584,1.44247,2.02229,1.44247,1.07478,2.86609,1.19735
0.13,0.03,2.48897,0.169703,1.44247,2.48897,1.44247,2.05057,1.44247,1.15963,2.86609,1.25391
0.13,0.04,2.60211,0.113135,1.44247,2.60211,1.44247,2.07886,1.44247,1.24449,2.86609,1.31048
0.13,0.05,2.71524,0.0565675,1.44247,2.71524,1.44247,2.10714,1.44247,1.32934,2.86609,1.36705
0.14,0,2.20613,0.311122,1.49904,2.20613,1.49904,2.00815,1.49904,0.947506,2.94151,1.13135
0.14,0.01,2.31927,0.254554,1.49904,2.31927,1.49904,2.03643,1.49904,1.03236,2.94151,1.18792
0.14,0.02,2.4324,0.197986,1.49904,2.4324,1.49904,2.06472,1.49904,1.11721,2.94151,1.24449
0.14,0.03,2.54554,0.141419,1.49904,2.54554,1.49904,2.093,1.49904,1.20206,2.94151,1.30105
0.14,0.04,2.65867,0.0848513,1.49904,2.65867,1.49904,2.12128,1.49904,1.28691,2.94151,1.35762
0.14,0.05,2.77181,0.0282838,1.49904,2.77181,1.49904,2.14957,1.49904,1.37176,2.94151,1.41419
0.15,0,2.2627,0.282838,1.55561,2.2627,1.55561,2.05057,1.55561,0.989932,3.01694,1.17849
0.15,0.01,2.37584,0.22627,1.55561,2.37584,1.55561,2.07886,1.55561,1.07478,3.01694,1.23506
0.15,0.02,2.48897,0.169703,1.55561,2.48897,1.55561,2.10714,1.55561,1.15963,3.01694,1.29163
0.15,0.03,2.60211,0.113135,1.55561,2.60211,1.55561,2.13542,1.55561,1.24449,3.01694,1.34819
0.15,0.04,2.71524,0.0565675,1.55561,2.71524,1.55561,2.16371,1.55561,1.32934,3.01694,1.40476
0.15,0.05,2.82838,-1.26579e-10,1.55561,2.82838,1.55561,2.19199,1.55561,1.41419,3.01694,1.46133
0.16,0,2.31927,0.254554,1.61218,2.31927,1.61218,2.093,1.61218,1.03236,3.09236,1.22563
0.16,0.01,2.4324,0.197986,1.61218,2.4324,1.61218,2.12128,1.61218,1.11721,3.09236,1.2822
0.16,0.02,2.54554,0.141419,1.61218,2.54554,1.61218,2.14957,1.61218,1.20206,3.09236,1.33877
0.16,0.03,2.65867,0.0848513,1.61218,2.65867,1.61218,2.17785,1.61218,1.28691,3.09236,1.39533
0.16,0.04,2.77181,0.0282838,1.61218,2.77181,1.61218,2.20613,1.61218,1.37176,3.09236,1.4519
0.16,0.05,2.88495,-0.0282838,1.61218,2.88495,1.61218,2.23442,1.61218,1.45661,3.09236,1.50847
0.17,0,2.37584,0.22627,1.66874,2.37584,1.66874,2.13542,1.66874,1.07478,3.16778,1.27277
0.17,0.01,2.48897,0.169703,1.66874,2.48897,1.66874,2.16371,1.66874,1.15963,3.16778,1.32934
